User;Date;Time;Number;Result
9991;2020/01/01;08:00:00;728049745;Voicemail
9991;2020/01/01;08:01:00;743696740;Voicemail
9991;2020/01/01;08:02:00;836315817;Voicemail
9991;2020/01/01;08:03:00;610249277;Voicemail
9991;2020/01/01;08:04:00;833848880;Voicemail
9991;2020/01/01;08:05:00;844414462;Wrong Number
9991;2020/01/01;08:10:00;659110156;Voicemail
9991;2020/01/01;08:11:00;846040476;Voicemail
9991;2020/01/01;08:12:00;670271556;Voicemail
9991;2020/01/01;08:13:00;822943856;Voicemail
9991;2020/01/01;08:14:00;836430983;Voicemail
9991;2020/01/01;08:15:00;725685805;Voicemail
9991;2020/01/01;08:16:00;659166429;Voicemail
9991;2020/01/01;08:17:00;846411706;Voicemail
9991;2020/01/01;08:18:00;845771238;Voicemail
9991;2020/01/01;08:19:00;748382203;Voicemail
9991;2020/01/01;08:20:00;681351132;Answered
9991;2020/01/01;08:31:00;845034806;Voicemail
9991;2020/01/01;08:32:00;724736779;Voicemail
9991;2020/01/01;08:33:00;794239957;Voicemail
9991;2020/01/01;08:34:00;794390732;Voicemail
9991;2020/01/01;08:35:00;624845569;Voicemail
9991;2020/01/01;08:36:00;721443911;Voicemail
9991;2020/01/01;08:37:00;744087258;Voicemail
9991;2020/01/01;08:38:00;790699920;Voicemail
9991;2020/01/01;08:39:00;681745990;Voicemail
9991;2020/01/01;08:40:00;826982721;Answered
9991;2020/01/01;08:45:00;664738392;Answered
9991;2020/01/01;09:00:00;639685986;Wrong Number
9991;2020/01/01;09:33:00;820545217;Voicemail
9991;2020/01/01;09:34:00;748257956;Voicemail
9991;2020/01/01;09:35:00;732604102;Voicemail
9991;2020/01/01;09:36:00;742439086;Voicemail
9991;2020/01/01;09:37:00;612233615;Voicemail
9991;2020/01/01;09:38:00;846465417;Voicemail
9991;2020/01/01;10:00:00;664050635;Answered
9991;2020/01/01;10:01:00;676071268;Voicemail
9991;2020/01/01;10:02:00;678778843;Voicemail
9991;2020/01/01;10:03:00;728821759;Voicemail
9991;2020/01/01;10:04:00;780824005;Voicemail
9991;2020/01/01;10:05:00;611560058;Voicemail
9991;2020/01/01;10:06:00;626454057;Voicemail
9991;2020/01/01;10:07:00;814523896;Voicemail
9991;2020/01/01;10:08:00;646983574;Voicemail
9991;2020/01/01;10:09:00;603244224;Voicemail
9991;2020/01/01;10:10:00;795540656;Voicemail
9991;2020/01/01;10:11:00;620327003;Voicemail
9991;2020/01/01;10:12:00;748964084;Voicemail
9991;2020/01/01;10:13:00;629217835;Voicemail
9991;2020/01/01;10:14:00;649951424;Voicemail
9991;2020/01/01;10:15:00;671962167;Voicemail
9991;2020/01/01;10:16:00;849600345;Answered
9991;2020/01/01;10:25:00;825941788;Wrong Number
9991;2020/01/01;10:26:00;723303908;Voicemail
9991;2020/01/01;10:27:00;626646496;Voicemail
9991;2020/01/01;10:27:00;605184745;Voicemail
9991;2020/01/01;10:28:00;732149084;Voicemail
9991;2020/01/01;10:29:00;814395401;Voicemail
9991;2020/01/01;10:30:00;639126087;Answered
9991;2020/01/01;11:00:00;603308859;Voicemail
9991;2020/01/01;11:01:00;618744971;Voicemail
9991;2020/01/01;11:02:00;797458780;Voicemail
9991;2020/01/01;11:03:00;840682279;Voicemail
9991;2020/01/01;11:04:00;793155595;Voicemail
9991;2020/01/01;11:05:00;652316551;Voicemail
9991;2020/01/01;11:06:00;671951920;Voicemail
9991;2020/01/01;11:07:00;622102697;Voicemail
9991;2020/01/01;11:08:00;720322521;Voicemail
9991;2020/01/01;11:09:00;763722794;Voicemail
9991;2020/01/01;11:10:00;637017850;Voicemail
9991;2020/01/01;11:11:00;785134718;Voicemail
9991;2020/01/01;11:12:00;614246571;Voicemail
9991;2020/01/01;11:13:00;671567771;Voicemail
9991;2020/01/01;11:14:00;616751081;Voicemail
9991;2020/01/01;11:15:00;710619171;Voicemail
9991;2020/01/01;11:16:00;813066374;Voicemail
9991;2020/01/01;11:17:00;613292985;Voicemail
9991;2020/01/01;11:18:00;659399341;Voicemail
9991;2020/01/01;11:19:00;716137894;Voicemail
9991;2020/01/01;11:20:00;847835469;Answered
9991;2020/01/01;11:21:00;652379138;Voicemail
9991;2020/01/01;11:22:00;738319507;Voicemail
9991;2020/01/01;11:23:00;765487805;Voicemail
9991;2020/01/01;11:24:00;658803768;Voicemail
9991;2020/01/01;11:25:00;606462077;Voicemail
9991;2020/01/01;11:26:00;762250814;Voicemail
9991;2020/01/01;11:27:00;797216595;Answered
9991;2020/01/01;12:00:00;83186002;Answered
9991;2020/01/01;12:45:00;637454918;Answered
9991;2020/01/01;12:46:00;720413617;Voicemail
9991;2020/01/01;12:47:00;839440660;Voicemail
9991;2020/01/01;12:48:00;623286474;Voicemail
9991;2020/01/01;12:49:00;713403566;Voicemail
9991;2020/01/01;12:50:00;647586924;Voicemail
9991;2020/01/01;12:51:00;824942470;Voicemail
9991;2020/01/01;12:52:00;677958861;Voicemail
9991;2020/01/01;12:53:00;738835668;Voicemail
9991;2020/01/01;12:54:00;844292439;Voicemail
9991;2020/01/01;12:55:00;768085565;Voicemail
9991;2020/01/01;12:56:00;766008541;Wrong Number
9991;2020/01/01;12:57:00;769841919;Voicemail
9991;2020/01/01;12:58:00;846034791;Voicemail
9991;2020/01/01;12:59:00;604893270;Voicemail
